lf_indekso;;;;;;;;;;;
lf_indekso;;;;;;;;;;;
jaro;monato;n-ro;paĝo(j);aŭtoro(j);titolo;tradukis;fontlingvo;rubriko;ŝlosilvorto;recenzita verko/filmo;tipologio
22 - 1991;decembro;134;20-23;Kris Long;Sub albrove tirita ĉapel’;;;REDAKCIE;eseo;;anonco
22 - 1991;decembro;134;24;Chris Declerck;Unua amo;;;BELETRO;poezio;;poezio originala
22 - 1991;decembro;134;25-27;Giorgio Silfer;Svisa prezidantino kun japana pojno;;;INTERVJUO;intervjuo;;intervjuo
22 - 1991;decembro;134;28-35;redakcie;Nia invito al optimismo;;;KULTURPOLITIKO;morala raporto;;anonco
22 - 1991;decembro;134;36-37;Kris Long;Spinoza el bazara strato;;;BELETRO;eseo;;prozo originala
22 - 1991;decembro;134;38-40;Isaac B. Singer;Sur la ĉaro;Tomasz Chmielik;jida;BELETRO;novelo;;prozo tradukita
22 - 1991;decembro;134;41-43;Tazio Carlevaro;Tomboj sen kruco;;;KULTURPOLITIKO;historio;;eseo originala
22 - 1991;decembro;134;44;Giorgio Silfer;Propono malfondi la honorkomitaton;;;ZAMENHOFOLOGIO;interveno;;eseo originala
22 - 1991;decembro;134;45-47;Marta Vaha (15-jara);La mirinda aventuro de cigana nokto;;;EN VITRINO;recenzo;Giorgio Silfer (1991), La Spegulo de Velodajo (laŭ bildoj de Stella Agostini);recenzo
22 - 1991;decembro;134;48-49;Georges Lagrange;Hantas min eterna demando…;;;TEATRO;recenzo;Angelo Beolco (Ruzante) 1990, Interparolo, tr. Carlo Minnaja;recenzo
22 - 1991;decembro;134;50-52;Claude kaj Andrée Gacond;Ĝis! Kaj eble bis…;;;DIDAKTIKO;lingvistiko;;eseo originala
22 - 1991;decembro;134;53;Andres Bickel;La (sepjar)centa stil-ekzerco;;;HUMURO;stilekzerco;;prozo originala
22 - 1991;decembro;134;54;redakcie;Bonvenon en la superjaro!;;;REDAKCIE;programo;;anonco
23 - 1992;februaro;135;3;Miguel Fernández Martín;Donu al mi l’ venenon de la dubo;;;UVERTURO;poemo;;poezio originala
23 - 1992;februaro;135;4-11;Giorgio Silfer;La trovo de Kolumbo;;;ESEO;eseo;;eseo originala
23 - 1992;februaro;135;12-14;Claude Gacond;La trista jubileo;;;HISTORIO;eseo;;eseo originala
23 - 1992;februaro;135;15-17;Julian Modest;La stranga sento;;;BELETRO;novelo;;prozo originala
23 - 1992;februaro;135;18-23;Isaac B. Singer;Sur la ĉaro (2);Tomasz Chmielik;jida;BELETRO;novelo;;prozo tradukita
23 - 1992;februaro;135;24;Nicole Pairoux;Georges Moustaki baldaŭ en esperanto?;;;MUZIKO;dokumento;;eseo originala
23 - 1992;februaro;135;25;Ionel Onet;Pri la unua KD en esperanto;;;MUZIKO;;;eseo originala
23 - 1992;februaro;135;26-27;Poul Thorsen;Ribelo de l’ atomoj;Poul Thorsen;dana;ESEO;eseo;;eseo tradukita
23 - 1992;februaro;135;28-29;Alain Favre;Kalendaro por superjaro;;;SPECIALE KCE;ĝenerala programo;;anonco
23 - 1992;februaro;135;31-34;Kris Long;Vaneso sur memortabulo;;;BELETRO;eseo;;prozo originala
23 - 1992;februaro;135;35;Bertil Nilsson;Artur Lundkvist, la postkulisa reĝisoro;;;MEMORE PRI;artikolo;;nekrologo
23 - 1992;februaro;135;36-37;Artur Lundkvist;"El ""La Volo de la Ĉielo""";Bertil Nilsson;sveda;BELETRO;literaturo;;poezio tradukita
23 - 1992;februaro;135;39-42;Chris Declerck;La svisa debitisto;;;EN VITRINO;eseo;Cezaro Rossetti (1990), Kredu min, sinjorino!;recenzo
23 - 1992;februaro;135;43-46;Bernard Golden;Neoispano, lasta vano;;;PLANLINGVISTIKO;eseo;;eseo originala
23 - 1992;februaro;135;47-48;Giorgio Silfer;Ha lo, kiu parolas?;;;ESPERANTOLOGIO;lingvistiko;;eseo originala
23 - 1992;februaro;135;49-50;Judita Schiller;Esperanta Songazeto: ideala por radiodramo;;;TEATRO;teatraĵo;;teatro originala
23 - 1992;februaro;135;50-51;Adriaan den Haan;Estu arto ankaŭ represi;;;KOMENTARIO;artikolo;;eseo originala
23 - 1992;februaro;135;52-53;Georges Lagrange;EP: Espero kaj Paco;;;ESEO;artikolo;;eseo originala
23 - 1992;februaro;135;54;redakcie;Grava heredaĵo;;;BELETRO;dokumento;;poezio originala
23 - 1992;aprilo;136;59;Nicolino Rossi;Parfumo oranĝflora;;;UVERTURO;poemo;;poezio originala
23 - 1992;aprilo;136;60-61;István Nemere;La kapitano;;;BELETRO;rakonto;;poezio originala
23 - 1992;aprilo;136;62-63;István Nemere;Isaac foriris…;;;MEMORE PRI;rememoro;;nekrologo
23 - 1992;aprilo;136;64-66;Giorgio Silfer;Asimov, la patro de robotiko;;;BELETRO;artikolo;;prozo originala
23 - 1992;aprilo;136;67-68;Isaak Asimov;"El ""Fondaĵo""";Jean-Paul Vilhelm;angla;DIDAKTIKO;novelo;;prozo tradukita
23 - 1992;aprilo;136;69-73;Jan Stanisław Skorupski;Eŭropo: aŭtonomia aŭ universala?;;;KULTURPOLITIKO;artikolo;;eseo originala
23 - 1992;aprilo;136;74;Giorgio Silfer;Attila József: al kiu apartenas poeto?;;;KOMENTARIO;artikolo;;eseo originala
23 - 1992;aprilo;136;75-76;Reto Rossetti;Mia frato, Cezaro;;;HISTORIO;artikolo;;eseo originala
23 - 1992;aprilo;136;77;Kurt Marti;Vidi Napolon;;;KOMENTARIO;rakonto;;prozo originala
23 - 1992;aprilo;136;78;István Ertl;La vidvo;;;MEMORE PRI;omaĝo;;nekrologo
23 - 1992;aprilo;136;79-80;Andy E. Künzli;Popolaj legendoj el Svislando;Andy E. Künzli;germana;KULTURPOLITIKO;artikolo;;eseo tradukita
23 - 1992;aprilo;136;81-82;Andy E. Künzli;Pri la deveno de la Schwyz-anoj;Andy E. Künzli;germana;KULTURPOLITIKO;artikolo;;eseo tradukita
23 - 1992;aprilo;136;83-86;Perla Martinelli;Mario Luzi subtenas la Esperantan PEN-Centron;;;INTERVJUO;intervjuo;;intervjuo
23 - 1992;aprilo;136;87-89;Ljubomir Trifonĉovski;Balado pri la luno kaj la cervo;;;TEATRO;balado;;teatro originala
23 - 1992;aprilo;136;90-92;Séan Osborne;Kajto 2: maturaj por muzika filmo;;;MUZIKO;eseo;;eseo originala
23 - 1992;aprilo;136;93-101;Kris Long;Ezra Pound: homo sub sunsubiro;;;ESEO;eseo;;eseo originala
23 - 1992;aprilo;136;102;Stefan MacGill;Hunda vivo kaj aliaj satiroj;;;HUMURO;recenzo;Le' Psiko (ps.) (1987), Hunda vivo kaj aliaj satiroj;recenzo
23 - 1992;aprilo;136;102;Catherine Samain;Najbaroj kaj boroj;;;HUMURO;recenzo;Stefan MacGill (1989), Najbaroj kaj boroj;recenzo
23 - 1992;aprilo;136;103-104;Nikolaj Lozgaĉev;Pri la magio de Rikardo Ŝulco;;;EN VITRINO;eseo;;recenzo
23 - 1992;aprilo;136;105-109;Poul Thorsen;Misteroj de l’ Paska Insulo;;;BELETRO;eseo;;prozo originala
23 - 1992;aprilo;136;110;Judit Felszeghy;Mia unua vizito;;;BELETRO;artikolo;;poezio originala
23 - 1992;junio;137;115;Kaporalo George;Letero al Marlene Dietrich;;;;dokumento;;eseo originala
23 - 1992;junio;137;116-117;Perla Martinelli;Feminismo 1992: ĉu pozitiva evoluo?;;;ESEO;femine;;eseo originala
23 - 1992;junio;137;118-122;Maria Aurélia Campany;Amazono, sed ne dekstramana;Giorgio Silfer;kataluna;HISTORIO;historio;;eseo tradukita
23 - 1992;junio;137;123-125;Joan Guinon i Roset kaj Giorgio Silfer;Alexandre Blokh: bonvenon, kolegoj!;;;INTERVJUO;dokumento;;intervjuo
23 - 1992;junio;137;126-136;Miguel Fernández Martín;La koncerto;;;BELETRO;muziko;;poezio originala
23 - 1992;junio;137;137-144;Giorgio Silfer;Triptiko;;;TEATRO;teatraĵo;;teatro originala
23 - 1992;junio;137;145-148;Blazio Vaha;Modele - sentrude;;;EN VITRINO;recenzo;Rihej Nomura kompilanto (1989), Zamenhofa Ekzemplaro;recenzo
23 - 1992;junio;137;149-150;W. A. Verloren van Thermaat;La transvestita muz(et)o;;;TRADUKARTO;artikolo;;eseo originala
23 - 1992;junio;137;151-152;Mimmo Saggese;Maltrafite eĉ ambaŭmane;;;BELETRO;prozo;J. H. Rosbach (1991), Unumane;prozo originala
23 - 1992;junio;137;153-155;Ada Csiszár;La maja idilo inter Kolomano kaj Eŭterpa;;;MUZIKO;eseo;;eseo originala
23 - 1992;junio;137;156-160;Julian Modest;La vagabondo en la poezio de Baghy;;;INTERNACIA LITERATURA FORUMO;literaturo;;anonco
23 - 1992;junio;137;162-163;Andy E. Künzli;La legendo pri la taŭro de Uri;;;KULTURPOLITIKO;eseo;;eseo originala
23 - 1992;junio;137;164-165;Gerrie van Geffen;Sviso komponinta sentempan poezion;;;EN VITRINO;recenzo;Edmond Privat (1989), Tra l'silento (poemaro);recenzo
23 - 1992;aŭgusto;138;171-172;Perla Martinelli;Renkonte al Desislava;;;UVERTURO;prezento;;poezio originala
23 - 1992;aŭgusto;138;173-174;Renato Corsetti;Kiaj infanlibroj por nia esperanto?;;;INTERNACIA LITERATURA FORUMO;forumo;;anonco
23 - 1992;aŭgusto;138;175-179;Blazio Vaha;Kia esperanto por niaj infanlibroj?;;;INTERNACIA LITERATURA FORUMO;eseo;;anonco
23 - 1992;aŭgusto;138;180;Gunnar Gällmo;Jen rebato pri roboto;;;KOMENTARIO;artikolo;;eseo originala
23 - 1992;aŭgusto;138;181-182;Jean Thierry;Foriris la sinjoro kun papilia kravato;;;MEMORE PRI;kinarto;;nekrologo
23 - 1992;aŭgusto;138;183-184;Judita Schiller;Valoras partopreni mirindan aventuron;;;LA SEPA ARTO;recenzo;Jacques-Louis Mahé (1964), Angoroj (filmo);recenzo
23 - 1992;aŭgusto;138;185-186;Perla Martinelli;La disĉiplinoj de Szerdahelyi;;;INTERVJUO;prozo;;intervjuo
23 - 1992;aŭgusto;138;187-190;Giorgio Silfer;Ili estis du malkunaj atomoj;;;HISTORIO;lingvistiko;;eseo originala
23 - 1992;aŭgusto;138;191;redakcie;Post IEMW kaj CDELI: BWB;;;REDAKCIE;informo;;anonco
23 - 1992;aŭgusto;138;192-193;Goncalo Neves;Pri speguloj;;;EN VITRINO;prezento;;recenzo
23 - 1992;aŭgusto;138;195-201;Árpád Abonyi-Nagy;Reicher la granda;;;TEATRO;eseo;;teatro originala
23 - 1992;aŭgusto;138;202-206;Peter Bichsel;Amerko ne ekzistas;Gerd Bussing kaj Tomasz Chmielik;germana;HISTORIO;novelo;;prozo tradukita
23 - 1992;aŭgusto;138;207-211;Alain Favre;Ambaŭ el ioma Slovenio;;;KULTURPOLITIKO;recenzo;Anita Periĉ (1991), Ne facilas esti sloveno en Italio;recenzo
23 - 1992;aŭgusto;138;213-216;Christer Kiselman;Kial ni hejtas la hejmon sed ŝajnas fajfi pri la fajlado?;;;PLANLINGVISTIKO;eseo;;eseo originala
23 - 1992;aŭgusto;138;217-221;Andy Künzli;La legendo pri Monto Pilato;;;KULTURPOLITIKO;eseo;;eseo originala
23 - 1992;aŭgusto;138;222;redakcie;Kvara petalo ŝosinta!;;;BELETRO;dokumento;;poezio originala
23 - 1992;oktobro;139;227-228;Goncalo Neves;Seko;;;UVERTURO;poemo;;poezio originala
23 - 1992;oktobro;139;229-230;Judit Felszeghy;Esperanta PEN-Centro: en Svislando la sidejo;;;ESEO;dokumento;;eseo originala
23 - 1992;oktobro;139;231-233;István Ertl;Claudio Magris pri sia Danubo;;;INTERVJUO;prozo;;intervjuo
23 - 1992;oktobro;139;234;Perla Martinelli;Virino por paco…;;;KONKURSFAKO;dokumento;;eseo originala
23 - 1992;oktobro;139;235-236;Derek Walcott;...kaj viro por somermeza poezio;Kris Long;angla;KONKURSFAKO;poemo;;poezio tradukita
23 - 1992;oktobro;139;237-241;Johannes Hofer;La malsano de la svisoj;Giorgio Silfer;germana;ESEO;prozo;;prozo tradukita
23 - 1992;oktobro;139;242-244;Tomasz Chmielik;Ili iris, sciante kien ili iras;;;BELETRO;romano;;prozo originala
23 - 1992;oktobro;139;244-246;Bogdan Wojdowski;La pano ĵetita al la mortintoj;Tomasz Chmielik;pola;BELETRO;prozo;;prozo tradukita
23 - 1992;oktobro;139;247-250;Hans Magnus Enzensberger;De Ezopo al malplena folio;Vilhelmo Lutermano;germana;BELETRO;eseo;;prozo tradukita
23 - 1992;oktobro;139;251-256;William F. Orr;La amoroj de Zeŭso;;;HISTORIO;poemo;;poezio originala
23 - 1992;oktobro;139;257-258;Judita Schiller;Renkonto kun Venera aŭ Opero Eŭropa;;;LA SEPA ARTO;filmo;;eseo originala
23 - 1992;oktobro;139;259-263;Glauco Rodriges Correa;Modernismo en Brazilo: historia skizo;;;HISTORIO;historio;;eseo originala
23 - 1992;oktobro;139;264-268;Bernard Golden;La kapitano alportinta novan lingvon el la nova mondo;;;LINGVISTIKO;eseo;;eseo originala
23 - 1992;oktobro;139;269-270;Poul Thorsen;Klasiks skermo en du onoj;;;EN VITRINO;recenzo;K. Kalocsay (1992), Versojn oni ne aĉetas;recenzo
23 - 1992;oktobro;139;271;redakcie;12a ILF kaj 3a MKE;;;REDAKCIE;programo;;anonco
23 - 1992;oktobro;139;272-273;Andy Künzli;La legendo de la diabla ponto;;;KULTURPOLITIKO;artikolo;;eseo originala
23 - 1992;oktobro;139;275-277;Marco Picasso;La mistero de Glozelo;;;SCIENCO;recenzo;André Cherpillod (1991), Glozel kaj la prahistoria skribo;recenzo
23 - 1992;oktobro;139;278;redakcie;Nia agendo por 1993;;;REDAKCIE;programo;;anonco
23 - 1992;decembro;140;283;Mario Luzi;Kiel vi volas;Giulio Cappa;itala;UVERTURO;poemo;;poezio tradukita
23 - 1992;decembro;140;284-285;Giorgio Silfer;Esperi signifas havi la optimismon de la risko;;;REDAKCIE;kongreso;;anonco
23 - 1992;decembro;140;286;Larisa Kuzmenko;Tridek grajnoj;;;INFANLITERATURO;fabelo;;prozo originala
23 - 1992;decembro;140;287-290;Jean Echenoz;Terenoj de konstruo;István Ertl kaj Fabienne Berthelot;franca;BELETRO;rakonto;;prozo tradukita
23 - 1992;decembro;140;291-292;Jacques Manceau;Kiam Mahé filmis, Lorjak ekfulmis!;;;LA SEPA ARTO;filmo;;eseo originala
23 - 1992;decembro;140;293-295;Kris Long;Diablo havas devon piki, do li spronas;;;EN VITRINO;recenzo;Mikaelo Bulgakov (1991), La Majstro kaj Margarita, tr. Sergej Pokrovskij;recenzo
23 - 1992;decembro;140;297-302;Carlo Minnaja;Cesare Pascarella, la dialektika poeto;;;HISTORIO;eseo;;eseo originala
23 - 1992;decembro;140;303-319;Cesare Pascarella;La malkovro de Ameriko;G. Pisoni, C. Minnaja, R. Corsetti;roma dialekto;HUMURO;poemo;;poezio tradukita
23 - 1992;decembro;140;321-326;Nicole Piron;Ĉu eblas rigardi usonajn virinojn per Ĝeneva lorno?;;;ESEO;prozo;;prozo originala
23 - 1992;decembro;140;327-329;Giorgio Silfer;Feniksaj plumoj tuĉitaj per cindro;;;ESEO;eseo;;eseo originala
23 - 1992;decembro;140;330-331;Gerrie van Geffen;La jasp-ora foririnto;;;BELETRO;eseo;;poezio originala
23 - 1992;decembro;140;332-33;redakcie;Bonvenon al Romandio!;;;SPECIALE KCE;programo;;anonco
23 - 1992;decembro;140;334;Georges Lagrange;Jam bone utligita la heredaĵo de Waringhien;;;REDAKCIE;programo;;anonco
24 - 1993;februaro;141;3-5;Miguel Fernández Martín;Dua amo;;;UVERTURO;poemo;;poezio originala
24 - 1993;februaro;141;6-7;Giorgio Silfer;Ne kulpas niaj alumetskatoloj pri la incendio en Hofburg!;;;ESEO;artikolo;;eseo originala
24 - 1993;februaro;141;8-12;Sten Johansson;Patrino;;;KOMENTARIO;eseo;;eseo originala
24 - 1993;februaro;141;13-14;Andy Künzli;Granda Ŝiller-premio por Hugo Loetscher;;;REDAKCIE;premio;;anonco
24 - 1993;februaro;141;15-18;Hugo Loetscher;Danko pro la verk-kontemplado;Andy Künzli;germana;ESEO;eseo;;eseo tradukita
24 - 1993;februaro;141;19-20;Judita Schiller;Aktuala kampo…;;;LA SEPA ARTO;prezento;;eseo originala
24 - 1993;februaro;141;21-22;Giorgio Silfer;Ho, se jam ekzistus esperanta filmindustrio!;;;BELETRO;romano;István Nemere (1992), Pigre pasas la nokto;prozo originala
24 - 1993;februaro;141;22;Antonio Valén;Kvardek jarojn poste;;;EN VITRINO;recenzo;"Johan Hammond
Rosbach (1991), Silka kuseno";recenzo
24 - 1993;februaro;141;23-25;Hektor Alos i Font;Milmejla vojaĝo komenciĝas per la unua paŝo;;;INTERVJUO;intervjuo;;intervjuo
24 - 1993;februaro;141;26;redakcie;Katalunoj rezolucias pri UK;;;KULTURPOLITIKO;rezolucio;;anonco
24 - 1993;februaro;141;27-29;Abel Montagut;Poemo de Utnoa Epilogo;;;BELETRO;poezio;;poezio originala
24 - 1993;februaro;141;30;Ljubomir Trifonĉovski;Deka, jubilea;;;TEATRO;recenzo;LF-koop (1992), Esperanta Songazeto n-ro 10, (kasedo);recenzo
24 - 1993;februaro;141;31-34;Bernard Golden;Kiu sviso partoprenis en la Karavano de Amikeco?;;;EN VITRINO;recenzo;Tibor Sekelj (1991), Ĝambo Rafiki;recenzo
24 - 1993;februaro;141;35-43;Kris Long;Brian Price-Heywood: Amik’ nerenkontita;;;ESEO;prozo;;prozo originala
24 - 1993;februaro;141;44-48;Tazio Carlevaro;Repliko al Marina (1);;;PLANLINGVISTIKO;eseo;;eseo originala
24 - 1993;februaro;141;48;redakcie;La ĝenerala Asembleo;;;REDAKCIE;evento;;anonco
24 - 1993;februaro;141;49-50;Ulari Taal;La kamelo;Antonina Apollo;estona;INFANLITERATURO;fabelo;;prozo tradukita
24 - 1993;februaro;141;51;Georges Lagrange;Ĉu nur por bulgaroj?;;;LINGVISTIKO;recenzo;Venelin Mitev (1991), Tradukarto;recenzo
24 - 1993;februaro;141;52-53;Gerrie van Geffen kaj Ed Borsboom;Nia familia tablo;;;BELETRO;artikolo;;poezio originala
24 - 1993;aprilo;142;59;István Ertl;Langomorde;;;UVERTURO;poemo;;poezio originala
24 - 1993;aprilo;142;60-62;Giorgio Silfer;Remortis Régulo;;;MEMORE PRI;eseo;;nekrologo
24 - 1993;aprilo;142;63-66;Julian Modest;Ĉu nia porinfana literaturo povas stimuli kreemon?;;;DIDAKTIKO;prelego;;eseo originala
24 - 1993;aprilo;142;67-68;Ljubomir Trifonĉovski;Kiu estas vi, Serĝo Elgo?;;;INTERVJUO;intervjuo;;intervjuo
24 - 1993;aprilo;142;69-76;Miguel Fernández Martín;Zampo kaj Selna;;;INTERNACIA LITERATURA FORUMO;rakonto;;anonco
24 - 1993;aprilo;142;77-80;Claude Gacond;Arĝenta jaro por CDELI;;;REDAKCIE;jubileo;;anonco
24 - 1993;aprilo;142;81-83;Walter Żelazny;Paradoksoj de vero kaj vivo;;;EN VITRINO;eseo;Ada Sikorska (1992), De tajgo al minaretoj;recenzo
24 - 1993;aprilo;142;84-85;redakcie;La literatura kritiko en esperanto: inter estetika univ. Kaj...;;;INTERNACIA LITERATURA FORUMO;programo;;anonco
24 - 1993;aprilo;142;86-87;Dante Bertolini;Danko pro honorigo;;;HISTORIO;eseo;;eseo originala
24 - 1993;aprilo;142;88;Goncalo Neves;Inico;;;ESEO;artikolo;;eseo originala
24 - 1993;aprilo;142;89-90;Henriette Beaupaul;Meznokto ne-tro-pola;;;EN VITRINO;recenzo;Krys Ungar (1991), Meznokto metropola;recenzo
24 - 1993;aprilo;142;91-94;Umberto Eco;La serĉado pri la perfekta lingvo en la eŭropa kulturo;Perla Martinelli;itala;BELETRO;eseo;;prozo tradukita
24 - 1993;aprilo;142;95-96;Giorgio Silfer;Granda eĥo por malgranda eko;;;KOMENTARIO;eseo;;eseo originala
24 - 1993;aprilo;142;97-98;Judita Schiller;Por ekrano kun verda lumo;;;LA SEPA ARTO;eseo;;eseo originala
24 - 1993;aprilo;142;99;Perla Martinelli;Paĝo por via saĝo;;;REDAKCIE;datreveno;;anonco
24 - 1993;aprilo;142;100-101;Adriaan den Haan;Poeto sen sarkilo;;;EN VITRINO;recenzo;Christian Declerck (1991), Ŝirpecoj (anstataŭ monumento);recenzo
24 - 1993;aprilo;142;102;Georges Lagrange;Sonĝe forvagi de l' gramatiko?;;;KOMENTARIO;recenzo;Julian Modest (1992), Sonĝe vagi;recenzo
24 - 1993;aprilo;142;103-109;Tazio Carlevaro;Repliko al Marina (2);;;PLANLINGVISTIKO;eseo;;eseo originala
24 - 1993;aprilo;142;110;redakcie;Kvar unikaj kursoj;;;REDAKCIE;programo;;anonco
24 - 1993;junio;143;115;Nicolino Rossi;Paco kaj solidar’;;;UVERTURO;poemo;;poezio originala
24 - 1993;junio;143;116-117;Francesco De Gregori;Rumor’ de nenio;;;MUZIKO;kanto;;poezio originala
24 - 1993;junio;143;118-119;Judita Schiller;Infanoj mortas pli bele…;;;LA SEPA ARTO;filmo;;eseo originala
24 - 1993;junio;143;120-124;Giordano Falzoni;Estonta fabelo;;;TEATRO;teatraĵo;;teatro originala
24 - 1993;junio;143;125-130;Blazio Vaha;Kia esperanto … kreskos en niaj infanoj?;;;DIDAKTIKO;eseo;;eseo originala
24 - 1993;junio;143;131-133;Abel Montagut;Pri Miró, la poezio kaj kanto;;;REDAKCIE;eseo;;anonco
24 - 1993;junio;143;134-138;Antonio Marco Botella;Mi estas valenciano…;;;KOMENTARIO;eseo;;eseo originala
24 - 1993;junio;143;139-142;ĝenerala Asembleo de LF-koop;Se ankoraŭ ĉeus tiaj instruistoj!;;;KULTURPOLITIKO;dokumento;;eseo originala
24 - 1993;junio;143;143-146;Ed Borsboom;Ŝirjarv, la favorato;;;HISTORIO;eseo;;eseo originala
24 - 1993;junio;143;147-148;Giorgio Silfer;Sur stel-standardo Majstro-bardo…;;;ESPERANTOLOGIO;lingvistiko;;eseo originala
24 - 1993;junio;143;148;Hagen Hirte;Ĉe l’akvo;;;BELETRO;poemo;;poezio originala
24 - 1993;junio;143;149;Giovanni Boccaccio;Balado el Dekamerono, dua tago;Giulio Cappa;itala;BELETRO;poemo;;poezio tradukita
24 - 1993;junio;143;150-151;Judit Felszeghy;Por vidi la mondon de Anjo Amika;;;INTERVJUO;intervjuo;;intervjuo
24 - 1993;junio;143;152-156;Czesław Miłosz;Tra nia tero;Kris Long;pola;BELETRO;poemo;;poezio tradukita
24 - 1993;junio;143;157-158;Julian Modest;Legi ĝardene;;;EN VITRINO;recenzo;;recenzo
24 - 1993;junio;143;159;Tazio Carlevaro;Promesoj plenumotaj;;;EN VITRINO;recenzo;;recenzo
24 - 1993;junio;143;160-162;Giorgio Silfer;Fine miskomprenis la radio;;;REDAKCIE;radioelsendo;;anonco
24 - 1993;junio;143;163-164;François Degoul;"Ĉu ""nepre"" taŭga elekto?";;;HISTORIO;recenzo;;recenzo
24 - 1993;junio;143;165-166;redakcie;3a Mediteranea Konferenco de Esperantologio;;;ZAMENHOFOLOGIO;mke;;eseo originala
24 - 1993;aŭgusto;144;171-172;Miguel Fernández Martín;Plia pluvet’;;;UVERTURO;poemo;;poezio originala
24 - 1993;aŭgusto;144;173-175;Goncalo Neves;Parolas al vi Barcelono;;;INTERNACIA LITERATURA FORUMO;forumo;;anonco
24 - 1993;aŭgusto;144;176-181;Giorgio Silfer;La turo de babilo: poetikoj kaj tendencoj en la Eo-kritiko;;;ESEO;eseo;;eseo originala
24 - 1993;aŭgusto;144;182-186;Mircea Eliade, enkondukas Perla Martinelli;Somera taglibro;Ionel Onet;rumana;BELETRO;taglibro;;prozo tradukita
24 - 1993;aŭgusto;144;187-193;Kris Long;Kaj estos homoj sur la tero;;;BELETRO;eseo;;prozo originala
24 - 1993;aŭgusto;144;194;Valentin Melnikov;"El ""Sonetoj al mia Muzo""";;;KONKURSFAKO;soneto;;anonco
24 - 1993;aŭgusto;144;195-198;Judita Schiller;Gramatik(l)aj dornoj en roza insulo;;;EN VITRINO;recenzo;;recenzo
24 - 1993;aŭgusto;144;199-200;Leen C. Deij;"Decus forstreki tiun ""A""";;;ESPERANTOLOGIO;artikolo;;eseo originala
24 - 1993;aŭgusto;144;200;Ada Fighiera Sikorska;Komentario;;;KOMENTARIO;prozo;;prozo originala
24 - 1993;aŭgusto;144;201-203;Nikolao Gudskov;Humuro el antaŭ cent jaroj;;;EN VITRINO;recenzo;Anton Ĉeĥov (1991), Sveda alumeto;recenzo
24 - 1993;aŭgusto;144;204-206;Chris Declerck;Inaŭguro de verko;;;KULTURPOLITIKO;eseo;;eseo originala
24 - 1993;aŭgusto;144;206;redakcie;Komentario;;;;;;eseo originala
24 - 1993;aŭgusto;144;207-209;Tazio Carlevaro;Interesa, sed ĉu tute vere?;;;PLANLINGVISTIKO;recenzo;Benoit Philippe (1991), Sprachwandel bei einer Plansprache am Beispiel des Esperanto;recenzo
24 - 1993;aŭgusto;144;210-211;Detlev Blanke;Ĉu kaj kiel esperanto ŝanĝiĝis?;;;PLANLINGVISTIKO;recenzo;;recenzo
24 - 1993;aŭgusto;144;212-216;András Sütő, enkondukas, Perla Martinelli;Toleremo brulis sur Ĝeneva ŝtiparo;József Kiss Horváth;hungara;TEATRO;teatraĵo;;teatro tradukita
24 - 1993;aŭgusto;144;217-218;Gabriel Mora i Arana;Post Ausias March, Vicent Andrés i Estellés;;;MEMORE PRI;artikolo;;nekrologo
24 - 1993;aŭgusto;144;218;Vjaĉeslav Hromov;Johannes Palu ne plu estas inter ni;;;;;;eseo originala
24 - 1993;aŭgusto;144;219-220;Georges Lagrange;Ne antologio, sed laŭdinda;;;EN VITRINO;recenzo;Diversaj aŭtoroj (1991), Franca Antologio (Dua volumo);recenzo
24 - 1993;aŭgusto;144;221-222;Marco Picasso;Esperanto, kia varo? Kia varo!;;;BELETRO;artikolo;;poezio originala
24 - 1993;oktobro;145;227;redakcie;Esperanto agnoskita kiel literatura lingvo;;;ESEO;dokumento;;eseo originala
24 - 1993;oktobro;145;229-232;redakcie;De Raŭmo al Santiago;;;SPECIALE PEN;dokumento;;anonco
24 - 1993;oktobro;145;233-239;Perla Martinelli;Al ĉiu laŭ sia merito;;;SPECIALE PEN;mondkongreso;;anonco
24 - 1993;oktobro;145;240-241;Giorgio Silfer;La verkista UNO;;;SPECIALE PEN;pen-kongreso;;anonco
24 - 1993;oktobro;145;242-243;István Nemere;Ni iru la vojon celitan!;;;SPECIALE PEN;dokumento;;eseo originala
24 - 1993;oktobro;145;244-245;Perla Martinelli;Salman Rushdie, la totala mokanto;;;SPECIALE PEN;historio;;anonco
24 - 1993;oktobro;145;247-249;Giorgio Silfer;Daŭre brulodora la jugoslavia kaĉo;;;SPECIALE PEN;historio;;anonco
24 - 1993;oktobro;145;250-251;Perla Martinelli;Restas en Azio la sombra rekordo;;;SPECIALE PEN;historio;;anonco
24 - 1993;oktobro;145;252-253;Marco Picasso;La deklaracio de Santiago;;;SPECIALE PEN;komentario;;anonco
24 - 1993;oktobro;145;254-255;Judita Schiller kaj la redakcio;Federiko, ne plu sur la landvojo;;;LA SEPA ARTO;dokumento;;eseo originala
24 - 1993;oktobro;145;256-258;Gabriel Mora i Arana;Sur dolmeno;;;BELETRO;poemo;;poezio originala
24 - 1993;oktobro;145;259-264;Kris Long;Kaj estos homoj sur la tero (2);;;BELETRO;eseo;;prozo originala
24 - 1993;oktobro;145;266;Nelida Weidmann Gonzáles-Fonseca;Koncerto en Zuriko, ambicia kultur-relanĉo;;;MUZIKO;programo;;anonco
