lf_indekso;;;;;;;;;;;
lf_indekso;;;;;;;;;;;
jaro;monato;n-ro;paĝo(j);aŭtoro(j);titolo;tradukis;fontlingvo;rubriko;ŝlosilvorto;recenzita verko/filmo;tipologio
02 - 1971;februaro;5;17-18;Clelia Conterno;Eŭgen Miĥalski (1897-?);;;MEMORE PRI;galerio;;nekrologo
02 - 1971;februaro;5;18-19;Asterikso;El Dante al Proust;;;REDAKCIE;asterisko;;eseo originala
02 - 1971;aprilo;6;2, 19;Asterikso;La Esperanta librovendado;;;REDAKCIE;asterikso;;eseo originala
02 - 1971;aprilo;6;3-4;Nicolino Rossi;La fonto;;;BELETRO;originala poezio;;poezio originala
02 - 1971;aprilo;6;4-6;Clelia Conterno Guglielminetti;Avinjo (1);;;BELETRO;originala prozo;;prozo originala
02 - 1971;aprilo;6;7;Aldo Palazzeschi;Mar' griza;Gaudenzio Pisoni;itala;TRADUKARTO;traduka poezio;;poezio tradukita
02 - 1971;aprilo;6;8;;Aldo Palazzeschi: Simpatio kaj pietato;;;HISTORIO;biografio;;nekrologo
02 - 1971;aprilo;6;9-11;Giorgio Silfer;Parolas Kalocsay;;;REDAKCIE;aktualaĵoj;;anonco
02 - 1971;aprilo;6;12-15;István Szerdahelyi;Onomastiko en Esperanto;;;LINGVISTIKO;lingvistiko;;eseo originala
02 - 1971;aprilo;6;15-16;Clelia Conterno;Kabe (1872-1959);;;MEMORE PRI;galerio;;nekrologo
02 - 1971;aprilo;6;16-18;Nicolino Rossi;Libero kaj amo;;;EN VITRINO;recenzo;Sándor Petőfi (1970), Libero kaj amo: poemoj elektitaj, tr. Kálmán Kalocsay;recenzo
02 - 1971;junio/aŭgusto;7-8;2-3;Asterisko;La ora trumpeto de Satchmo;;;REDAKCIE;asterisko;;eseo originala
02 - 1971;junio/aŭgusto;7-8;4-5;Clelia Conterno Guglielminetti;Avinjo (2);;;BELETRO;originala prozo;;prozo originala
02 - 1971;junio/aŭgusto;7-8;6;;Luigi Malerba;;;HISTORIO;biografio;;nekrologo
02 - 1971;junio/aŭgusto;7-8;7-15;Luigi Malerba;Babelo;Guglielmo Capacchi;itala;BELETRO;tradukita prozo;;prozo tradukita
02 - 1971;junio/aŭgusto;7-8;16;Salvatore Di Giacomo;Piano dum la nokto;Gaudenzio Pisoni;itala;TRADUKARTO;traduka poezio;;poezio tradukita
02 - 1971;junio/aŭgusto;7-8;16-17;Nicolino Rossi;Salvatore Di Giacomo;;;HISTORIO;biografio;;nekrologo
02 - 1971;junio/aŭgusto;7-8;18-19;Hans Michael Maitzen;La steloj - ĉu ili sensorĉiĝis?;;;SCIENCO;astronomio;;eseo originala
02 - 1971;junio/aŭgusto;7-8;20;F. R. Banham;Pri la figuro de Antoni Grabowski;;;KOMENTARIO;libera tribuno;;eseo originala
02 - 1971;junio/aŭgusto;7-8;21-25;Giorgio Silfer;Lapenna 26 Wensing 21;;;INTERVJUO;intervjuo/aktualaĵoj;;intervjuo
02 - 1971;junio/aŭgusto;7-8;26-30;Carlo Minnaja;Malsimilaj fratoj;;;EN VITRINO;recenzoj;;recenzo
02 - 1971;junio/aŭgusto;7-8;28;Tinin Mantegazza;Brikabrako;;;HUMURO;brikabrako;;eseo originala
02 - 1971;junio/aŭgusto;7-8;31;Clelia Conterno;Edmond Privat (1889-1962);;;MEMORE PRI;galerio;;nekrologo
02 - 1971;oktobro;9;2;La Redakcio;"Konkurso ""Grosseto"" 1971 (Rezultoj)";;;KONKURSFAKO;"konkurso ""grosseto""";;anonco
02 - 1971;oktobro;9;3;István Nemere;Se mi mortos;;;BELETRO;originala poezio;;poezio originala
